"persid","cluster_id","household_id","participant_id","age_band","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"90423/1000",NA,90423,4253,"55-59 years","female",21,14916,"Other",145.776504516602,145.776504516602,"car",0.166666666666667,1.16,"weekday",1,"40 to 64","1-2km","bicycle",1.16,0.105454545454545,1.16666666666667,0.738181818181818
"90423/1000",NA,90423,4253,"55-59 years","female",21,14917,"Shopping",145.776504516602,145.776504516602,"car",0.0833333333333333,0.7,"weekday",2,"40 to 64","<1km","walking",0.7,0.175,0.583333333333333,1.225
"90423/1000",NA,90423,4253,"55-59 years","female",21,14918,"Other",145.776504516602,145.776504516602,"car",0.0833333333333333,0.96,"weekday",3,"40 to 64","<1km","walking",0.96,0.24,0.583333333333333,1.68
"90423/1000",NA,90423,4253,"55-59 years","female",21,14919,"Shopping",145.776504516602,145.776504516602,"car",0.133333333333333,1.36,"weekday",4,"40 to 64","1-2km","bicycle",1.36,0.123636363636364,0.933333333333333,0.865454545454545
"90423/1000",NA,90423,4253,"55-59 years","female",21,14920,"Shopping",145.776504516602,145.776504516602,"car",0.166666666666667,1.39,"weekday",5,"40 to 64","1-2km","bicycle",1.39,0.126363636363636,1.16666666666667,0.884545454545454
"90423/1001",NA,90423,4254,"25-29 years","male",21,14921,"Work",124.118743896484,124.118743896484,"car",1,69.3,"weekday",1,"20 to 39",">10km","car",69.3,1,7,7
"90423/1001",NA,90423,4254,"25-29 years","male",21,14922,"Other",124.118743896484,124.118743896484,"car",1,69.51,"weekday",2,"20 to 39",">10km","car",69.51,1,7,7
"90423/1002",NA,90423,4255,"20-24 years","male",21,14923,"Other",179.940673828125,179.940673828125,"car",0.166666666666667,1.16,"weekday",1,"20 to 39","1-2km","bicycle",1.16,0.105454545454545,1.16666666666667,0.738181818181818
"90423/1002",NA,90423,4255,"20-24 years","male",21,14924,"Shopping",179.940673828125,179.940673828125,"car",0.0833333333333333,0.7,"weekday",2,"20 to 39","<1km","walking",0.7,0.175,0.583333333333333,1.225
"90423/1002",NA,90423,4255,"20-24 years","male",21,14925,"Other",179.940673828125,179.940673828125,"car",0.0833333333333333,0.96,"weekday",3,"20 to 39","<1km","walking",0.96,0.24,0.583333333333333,1.68
"90423/1002",NA,90423,4255,"20-24 years","male",21,14926,"Shopping",179.940673828125,179.940673828125,"car",0.133333333333333,1.36,"weekday",4,"20 to 39","1-2km","bicycle",1.36,0.123636363636364,0.933333333333333,0.865454545454545
